Function,sum
CLASS,
Field,10086022.7681
Forest,748484.98203
HerbLine,190250.732483
HerbPatch,993165.887573
Residential,156735.714236
Road,61895.9824778
Roadside,114344.412563
TreeLine,187133.575644
Water,15313.9572169
,
,12553348.0123237
