None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;1026.96255596
1;Field;225.867979736
2;Field;1134.99653547
;Forest;3413.3947334
;HerbLine;13340.316123
;HerbPatch;3777.87307873
;Residential;705.443559145
;Roadside;6634.94413582
;TreeLine;9795.28036164
