None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;398538.78869
1;Field;194356.882799
2;Field;627252.870108
8;Road;5211.58257496
9;Road;38062.9922607
;Field;194062.949289
;Forest;371184.906596
;HerbLine;149309.464059
;HerbPatch;531569.832512
;Residential;101387.285207
;Roadside;82427.624159
;TreeLine;143787.63318
;Water;10074.3579379
