None;Function;sum
BLOOM_LEVL;CROP;
0;;157391.498365
0;corn;1780693.46094
0;soybean;1368820.87653
0;wheat;174904.131805
1;corn;1697946.43466
1;soybean;347175.617511
2;corn;1275830.35258
2;soybean;2272746.4383
;;3336598.12252
;corn;95416.3574772
;soybean;35591.1242031
;wheat;10233.5974001
