None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;1.13000234487e-09
1;Field;3.53769458172e-09
2;Field;761.098357107
;Forest;2828.78675691
;HerbLine;27305.9235337
;HerbPatch;4615.04531332
;Residential;1864.3993057
;Roadside;7468.64685022
;TreeLine;2211.45071941
