None;Function;sum
BLOOM_LEVL;CROP;
0;;63127.1535928
0;corn;5783473.97028
0;soybean;2637393.20194
0;wheat;173451.494397
1;corn;257790.201171
1;soybean;109101.850761
2;soybean;474350.114049
;;2963850.13345
;corn;81817.1983982
;soybean;9206.00515182
