Function,sum
CLASS,
Field,9708223.36326
Forest,1022238.06202
HerbLine,204465.969641
HerbPatch,1150999.9831
Residential,143715.774077
Road,102043.794772
Roadside,152970.305621
TreeLine,68904.0707051
,
,12553561.3231961
