None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;1157834.32984
1;Field;64667.9842006
2;Field;128516.217626
;Field;42847.3376717
;Forest;489195.595469
;HerbLine;177565.060169
;HerbPatch;392871.81237
;Residential;90856.8174233
;Road;71281.845279
;Roadside;117157.028979
;TreeLine;51285.018275
