Function,sum
CLASS,
Field,7879509.09444
Forest,1639021.59123
HerbLine,95109.2770971
HerbPatch,348865.020132
Impervious,60638.0679521
Residential,2038914.5359
Road,113336.655414
Roadside,196678.998036
TreeLine,106966.44925
Water,74742.2139286
,
,12553781.9033798
