None;Function;sum
BLOOM_LEVL;CROP;
0;;262511.351385
0;corn;157603.016862
0;soybean;1677511.72953
0;wheat;51306.3399592
1;;107695.639625
1;corn;13176.122331
1;soybean;792748.504029
2;;218981.573823
2;corn;754361.458554
2;soybean;1914567.79374
;;6097005.62704
;corn;103599.691161
;soybean;402713.055343
