None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;1156.61402624
2;Field;913.343770247
;Field;1439.28692741
;Forest;2092.62694165
;HerbLine;1099.6888433
;HerbPatch;269.557331368
;Residential;3278.73231514
;Roadside;1517.75544384
;TreeLine;778.798117921
