None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;143463.341702
1;Field;31632.5263072
2;Field;105528.234455
;Field;207834.300156
;Forest;109518.679661
;HerbLine;34030.5195002
;HerbPatch;23682.3557174
;Residential;279312.691713
;Road;11206.1317981
;Roadside;23052.7168056
;TreeLine;14189.7573846
;Water;4555.60375455
