None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;434377.475575
1;Field;63251.1904022
2;Field;49144.3566625
;Field;87475.6662924
;Forest;453978.410443
;HerbLine;75623.5296036
;HerbPatch;288569.720321
;Residential;278497.546121
;Road;35077.4446579
;Roadside;37508.5602461
;TreeLine;36096.1380379
