Function,sum
CLASS,
Field,7310970.74208
Forest,2372612.18521
HerbLine,120397.176918
HerbPatch,1880907.44622
Residential,599139.804546
Road,56192.0303141
Roadside,68532.1393069
TreeLine,109276.866948
Water,28565.5574931
,
,12546593.9490361
