None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;950122.656153
1;Field;232545.32229
1;HerbLine;29229.8688841
1;HerbPatch;208964.50651
2;Field;355411.081943
;Field;86630.5783889
;Forest;220906.989292
;HerbLine;146056.540563
;HerbPatch;30885.2511685
;Residential;195990.766467
;Road;37808.877436
;Roadside;82997.0425292
;TreeLine;23818.4382884
