None;Function;sum
CROP;BLOOM_LEVL;
;0;1.22260237057e-08
;1;809.031057652
;2;397449.327035
;;2638887.71369
corn;0;2377050.06358
corn;1;525893.906662
corn;2;312251.419613
corn;;505759.722865
sorghum;0;937.447161264
sorghum;1;20343.6086762
sorghum;2;3528.97974051
soybean;0;4210919.21602
soybean;1;247670.417485
soybean;2;538619.001014
soybean;;107841.521532
wheat;0;665563.144212
