Function,sum
CLASS,
Field,10450844.6956
Forest,444301.490725
HerbLine,370689.587669
HerbPatch,590229.615735
Residential,422890.543965
Road,71577.3364901
Roadside,126585.443384
TreeLine,76405.8067726
,
,12553524.5203407
