Function,sum
CLASS,
Field,9858665.83128
Forest,147059.105187
HerbLine,183775.563116
HerbPatch,1069775.75307
Residential,818429.495932
Road,70915.9601376
Roadside,181630.930157
TreeLine,217768.073274
Water,5569.1969858
,
,12553589.9091394
