None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;457115.038736
0;TreeLine;518.975166317
1;Field;51208.1970845
2;Field;188325.43423
;Field;480398.890225
;Forest;44931.9932683
;HerbLine;81271.0183149
;HerbPatch;260263.730114
;Residential;186041.470387
;Road;27700.3829956
;Roadside;66572.8440836
;TreeLine;121073.312383
;Water;485.618899456
