None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;1785.83730865
1;Field;3.64411401055e-09
2;Field;560.57944776
;Field;721.211249473
;Forest;333.708887974
;HerbLine;7747.3452693
;HerbPatch;2295.96120055
;Residential;1883.77940531
;Road;22.379674618
;Roadside;5641.06810175
;TreeLine;11553.4289699
