None;Function;sum
BLOOM_LEVL;CROP;
0;;81624.0498984
0;corn;1942516.99395
0;hay/alfalfa;70656.911555
0;soybean;2123181.13011
1;corn;1435269.95509
1;soybean;1093258.19268
2;;136845.928604
2;corn;565124.659836
2;soybean;1055733.52404
;;4049378.56337
