dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
513,HONEYRUN,4,2015,HONEYRUN_050415_12_17_for_1min.avi,yes,12:17,2,2,4,8,862,914,891.75,15.899,288,320,304.75,13.52,1.235,1.368,1.268,0.067,58,90,74.875,12.845,27.731,35.384,31.899,3.253,0,35.384,15.95,17.183,NA,NA,NA,NA,27.731,35.384,31.899,3.253,22.462,28.661,25.182,2.601,43.781,64.359,51.406,9.024,NA,NA,NA,NA,0,-7.31899999999999,13.259,0.306000000000012,12:17,141.1,141.406,2.4680002820751,1,,,,,,,,,
514,HONEYRUN,4,2015,HONEYRUN_050415_12_22_for_1min.avi,yes,12:22,1,1,4,8,488,1224,869.833,354.785,274.667,496,379.167,103.853,1.034,1.668,1.46,0.293,52,92,77.625,12.047,34.998,42.164,38.886,3.059,0,42.164,19.443,20.882,NA,NA,NA,NA,34.998,42.164,38.886,3.059,22.886,33.836,27.321,4.646,5.711,49.635,24.639,18.454,NA,NA,NA,NA,0,-47.689,-3.76500000000001,-28.761,12:22,143.4,114.639,2.00082800119378,1,,,,,,,,,
515,HONEYRUN,4,2015,HONEYRUN_050415_12_27_for_1min.avi,yes,12:27,1,1,4,8,1125.167,1171.167,1150.083,17.562,355.167,421.167,397.25,24.512,1.134,1.435,1.285,0.14,57,84,75.625,8.088,22.784,37.047,32.362,6.583,0,37.047,16.181,17.827,NA,NA,NA,NA,22.784,37.047,32.362,6.583,20.083,27.75,25.05,3.471,-30.256,-16.26,-21.876,5.933,NA,NA,NA,NA,0,-85.956,-71.96,-77.576,12:27,145.7,68.124,1.18898809962862,1,,,,,,,,,
516,HONEYRUN,4,2015,HONEYRUN_050415_12_27_for_1min.avi,yes,12:27,2,2,4,8,870.5,913.167,887.917,15.024,119.5,190.167,149.917,22.964,1.502,2.236,1.91,0.318,50,76,64.125,8.271,19.889,37.298,29.269,7.544,0,37.298,14.634,16.406,NA,NA,NA,NA,19.889,37.298,29.269,7.544,10.837,17.981,15.35,3.129,17.7,57.095,38.523,18.385,NA,NA,NA,NA,0,-38,1.39500000000001,-17.177,12:27,145.7,128.523,2.24314951454067,1,,,,,,,,,
517,HONEYRUN,4,2015,HONEYRUN_050415_12_32_for_1min.avi,yes,12:32,1,1,4,8,655.833,697.167,672.25,15.715,238.5,341.167,291.917,36.991,1.034,1.835,1.443,0.327,72,97,85.25,8.515,18.439,37.298,29.958,8.563,0,37.298,14.979,16.966,NA,NA,NA,NA,18.439,37.298,29.958,8.563,17.826,24.784,20.592,2.979,-49.399,-28.856,-36.518,9.358,NA,NA,NA,NA,0,-107.399,-86.856,-94.518,12:32,148,53.482,0.933436990551607,1,,,,,,,,,
518,HONEYRUN,4,2015,HONEYRUN_050415_12_37_for_1min.avi,yes,12:37,1,1,4,8,389,567,493.375,59.315,211,301,250.25,27.665,0.968,2.269,1.702,0.653,67,104,86.875,12.822,39.623,73.539,58.262,14.777,0,73.539,29.131,32.61,NA,NA,NA,NA,39.623,73.539,58.262,14.777,29.002,55.892,36.869,12.795,-33.69,42.955,16.998,34.864,NA,NA,NA,NA,0,-94.19,-17.545,-43.502,12:37,150.5,106.998,1.86746739304889,1,,,,,,,,,
519,HONEYRUN,4,2015,HONEYRUN_050415_12_37_for_1min.avi,yes,12:37,2,2,4,8,1038,1098,1070.875,19.305,252,323,293.5,23.287,1.468,2.102,1.81,0.262,34,93,65,18.158,38.897,49.396,43.333,5.292,0,49.396,21.667,23.42,NA,NA,NA,NA,38.897,49.396,43.333,5.292,21.588,26.494,24.069,2.062,-60.101,-17.969,-38.57,23.8,NA,NA,NA,NA,0,-120.601,-78.469,-99.07,12:37,150.5,51.43,0.897622834300684,1,,,,,,,,,
520,HONEYRUN,4,2015,HONEYRUN_050415_12_42_for_1min.avi,yes,12:42,1,1,5,10,585.167,753.833,631.567,59.327,199.833,259.167,230.633,18.978,0.734,2.069,1.602,0.527,51,101,68,17.851,21.499,34.801,29.958,5.327,0,34.801,14.979,16.184,NA,NA,NA,NA,21.499,34.801,29.958,5.327,13.709,38.798,21.046,10.099,-75.141,32.574,-49.228,46.088,NA,NA,NA,NA,0,-138.141,-30.426,-112.228,12:42,153,40.772,0.711605642623128,1,,,,,,,,,
521,HONEYRUN,4,2015,HONEYRUN_050415_12_42_for_1min.avi,yes,12:42,2,2,3,6,734.5,792.5,760.611,23.489,259.833,297.167,277.167,14.23,1.134,2.069,1.702,0.498,48,86,68.333,16.305,29.219,58.727,43.803,14.757,0,58.727,21.901,25.743,NA,NA,NA,NA,29.219,58.727,43.803,14.757,22.852,28.388,25.665,2.769,20.659,39.472,31.636,9.792,NA,NA,NA,NA,0,-42.341,-23.528,-31.364,12:42,153,121.636,2.12294868895582,1,,,,,,,,,
522,HONEYRUN,4,2015,HONEYRUN_050415_12_42_for_1min.avi,yes,12:42,3,3,4,8,1084,1177,1112,36.422,478,509,493.125,11.319,0.4,0.667,0.526,0.129,66,99,80.125,11.969,20.248,24.413,22.284,1.895,0,24.413,11.142,11.975,NA,NA,NA,NA,20.248,24.413,22.284,1.895,34.854,50.571,43.744,7.345,-124.992,-98.13,-115.373,12.201,NA,NA,NA,NA,0,172.008,198.87,181.627,12:42,153,334.627,5.84034291607107,1,,,,,,,,,
