dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
21,FSR,4,2015,FSR_050415_16_01_for_1min.avi,no,16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-155,-155,-155,16:01,244.8,90,2,0,,,,,,,,,
22,FSR,4,2015,FSR_050415_16_06_for_1min.avi,no,16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-156,-156,-156,16:06,246.1,90,2,0,,,,,,,,,
23,FSR,4,2015,FSR_050415_16_11_for_1min.avi,yes,16:11,1,1,1,2,758.167,795.5,776.833,26.399,389.5,402.833,396.167,9.428,0,0,0,NA,51,74,62.5,16.263,39.643,39.643,39.643,NA,0,39.643,19.821,28.032,NA,NA,NA,NA,39.643,39.643,39.643,NA,NA,NA,NA,NA,-19.654,-19.654,-19.654,NA,NA,NA,NA,NA,0,-176.954,-176.954,-176.954,16:11,247.3,70.346,1.22776931560793,1,,,,,,,,,
24,FSR,4,2015,FSR_050415_16_16_for_1min.avi,no,16:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-159,-159,-159,16:16,248.5,90,2,0,,,,,,,,,
25,FSR,5,2015,FSR_050515_11_21_for_1min.avi,yes,11:21,1,1,4,8,896.167,912.167,903.583,6.166,370.833,420.833,400.167,19.834,1.902,2.569,2.261,0.274,60,87,71.125,8.593,30.47,49.121,35.963,8.818,0,49.121,17.982,20.071,NA,NA,NA,NA,30.47,49.121,35.963,8.818,13.429,19.119,15.837,2.574,88.831,100.081,95.997,4.93,NA,NA,NA,NA,-1,58.131,69.381,65.297,11:21,120.7,185.997,3.24626004883189,1,,,,,,,,,
26,FSR,5,2015,FSR_050515_11_21_for_1min.avi,yes,11:21,2,2,4,8,450,672.5,543.5,84.764,524,683,609.938,61.363,0.834,3.937,1.985,1.373,83,117,95.125,10.148,11.8,48.541,30.243,16.198,0,48.541,15.122,19.333,NA,NA,NA,NA,11.8,48.541,30.243,16.198,9.307,27.363,17.219,8.093,20.113,126.384,84.172,49.156,NA,NA,NA,NA,-1,-10.587,95.684,53.472,11:21,120.7,174.172,3.03987486478356,1,,,,,,,,,
27,FSR,5,2015,FSR_050515_11_21_for_1min.avi,yes,11:21,3,3,4,8,918,996,957.5,27.224,379,588,472.875,75.747,1.435,2.903,2.127,0.666,74,107,84.875,11.281,32.062,70.576,48.013,16.228,0,70.576,24.006,27.776,NA,NA,NA,NA,32.062,70.576,48.013,16.228,18.983,24.883,22.631,2.664,86.424,111.571,103.033,11.668,NA,NA,NA,NA,-1,55.724,80.871,72.333,11:21,120.7,193.033,3.36906141500221,1,,,,,,,,,
28,FSR,5,2015,FSR_050515_11_26_for_1min.avi,yes,11:26,1,1,4,8,907.833,986.5,944.667,26.709,646.833,689.5,665.25,15.904,0.767,1.401,1.143,0.273,77,105,90.625,8.911,30.529,41.494,33.408,5.393,0,41.494,16.704,18.203,NA,NA,NA,NA,30.529,41.494,33.408,5.393,24.077,40.195,30.249,7.006,148.392,173.797,157.152,11.607,NA,NA,NA,NA,-1,116.292,141.697,125.052,11:26,122.1,247.152,4.31361615288903,1,,,,,,,,,
29,FSR,5,2015,FSR_050515_11_26_for_1min.avi,yes,11:26,2,2,4,8,995.5,1062.167,1032.75,21.442,488.833,550.167,520.917,20.191,0.801,1.301,1.084,0.229,63,106,89.375,13.958,27.138,46.667,37.439,8.103,0,46.667,18.719,20.703,NA,NA,NA,NA,27.138,46.667,37.439,8.103,27.11,45.423,35.113,7.751,138.715,152.176,145.351,5.764,NA,NA,NA,NA,-1,106.615,120.076,113.251,11:26,122.1,235.351,4.10764984786117,1,,,,,,,,,
30,FSR,5,2015,FSR_050515_11_26_for_1min.avi,yes,11:26,3,3,4,8,894.167,951.5,921.417,19.274,236.167,346.167,280.667,35.892,1.168,1.935,1.643,0.332,81,104,92.125,6.77,32.558,43.231,38.637,4.58,0,43.231,19.319,20.869,NA,NA,NA,NA,32.558,43.231,38.637,4.58,16.823,32.544,24.44,6.427,105.173,132.51,114.876,12.917,NA,NA,NA,NA,-1,73.073,100.41,82.776,11:26,122.1,204.876,3.5757607583159,1,,,,,,,,,
31,FSR,5,2015,FSR_050515_11_31_for_1min.avi,yes,11:31,1,1,4,8,1088.5,1166.667,1138.25,30.523,409.333,471.833,433.042,23.034,0.834,1.935,1.343,0.542,60,133,88,25.411,14.795,32.622,22.355,8.394,0,32.622,11.177,13.152,NA,NA,NA,NA,14.795,32.622,22.355,8.394,15.435,17.736,16.856,1.014,64.486,97.633,74.587,15.468,NA,NA,NA,NA,-1,30.786,63.933,40.887,11:31,123.7,164.587,2.87258505597991,1,,,,,,,,,
32,FSR,5,2015,FSR_050515_11_36_for_1min.avi,yes,11:36,1,1,4,8,635.167,789.5,704.917,60.636,621.5,732.167,659,38.049,1.702,2.569,2.052,0.376,81,121,103.5,13.202,30.148,46.69,40.807,7.654,0,46.69,20.403,22.38,NA,NA,NA,NA,30.148,46.69,40.807,7.654,14.573,27.052,20.349,5.31,82.405,108.034,97.578,10.812,NA,NA,NA,NA,-1,47.105,72.734,62.278,11:36,125.3,187.578,3.27385370430592,1,,,,,,,,,
33,FSR,5,2015,FSR_050515_11_36_for_1min.avi,yes,11:36,2,2,4,8,1245,1304.167,1286.896,23.817,316,401.5,358.521,29.265,1.635,1.902,1.752,0.123,71,100,84,8.701,38.733,53.285,45.568,6.687,0,53.285,22.784,24.748,NA,NA,NA,NA,38.733,53.285,45.568,6.687,21.778,32.591,26.172,4.834,78.835,95.925,89.466,7.585,NA,NA,NA,NA,-1,43.535,60.625,54.166,11:36,125.3,179.466,3.13227259538414,1,,,,,,,,,
34,FSR,5,2015,FSR_050515_11_36_for_1min.avi,yes,11:36,3,3,4,8,814.5,858.5,838.667,18.533,537.5,646.833,587.75,37.18,1.869,2.336,2.194,0.219,77,110,92,10.941,46.019,55.398,50.523,4.865,0,55.398,25.262,27.193,NA,NA,NA,NA,46.019,55.398,50.523,4.865,19.988,24.978,23.126,2.231,87.241,91.66,89.753,1.94,NA,NA,NA,NA,-1,51.941,56.36,54.453,11:36,125.3,179.753,3.13728169033737,1,,,,,,,,,
35,FSR,5,2015,FSR_050515_11_41_for_1min.avi,yes,11:41,1,1,4,8,841.833,872.5,858.083,13.769,356.833,418.833,384.25,25.589,1.869,2.002,1.927,0.069,89,106,97.625,5.125,34.979,62,47.298,12.414,0,62,23.649,26.556,NA,NA,NA,NA,34.979,62,47.298,12.414,18.72,31.494,24.419,5.71,90,113.009,97.912,10.626,NA,NA,NA,NA,-1,53.1,76.109,61.012,11:41,126.9,187.912,3.27968310400758,1,,,,,,,,,
