dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
326,MOOREMAN,4,2015,MOOREMAN_050415_14_21_for_1min.avi,yes,14:21,3,3,4,8,1034.5,1078.5,1055.75,14.55,319.5,346.5,329.438,9.887,0.934,1.702,1.376,0.322,46,118,68.625,23.378,18.2,30.27,24.852,5.692,0,30.27,12.426,13.797,NA,NA,NA,NA,18.2,30.27,24.852,5.692,15.763,19.65,18.17,1.812,-174.806,-154.323,-161.469,9.112,NA,NA,NA,NA,0,66.394,86.877,79.731,14:21,208.8,288.531,5.03581594407176,1,,,,,,,,,
327,MOOREMAN,4,2015,MOOREMAN_050415_14_26_for_1min.avi,yes,14:26,1,1,4,8,837.167,923.167,880.083,29.85,409.167,441.167,427.083,10.87,1.268,1.702,1.41,0.199,55,91,72.125,11.801,35.839,46.174,41.995,4.391,0,46.174,20.997,22.63,NA,NA,NA,NA,35.839,46.174,41.995,4.391,25.564,36.416,30.14,4.757,-170.362,-157.865,-163.869,5.215,NA,NA,NA,NA,0,68.338,80.835,74.831,14:26,211.3,286.131,4.99392804202389,1,,,,,,,,,
328,MOOREMAN,4,2015,MOOREMAN_050415_14_31_for_1min.avi,no,14:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-124,-124,-124,14:31,213.7,90,2,0,,,,,,,,,
329,MOOREMAN,4,2015,MOOREMAN_050415_14_36_for_1min.avi,no,14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-126,-126,-126,14:36,216,90,2,0,,,,,,,,,:
330,MOOREMAN,4,2015,MOOREMAN_050415_14_41_for_1min.avi,yes,14:41,1,1,4,8,899.167,957.167,927.417,20.396,290.833,313.5,304.083,9.865,1.301,1.535,1.401,0.098,49,99,68.375,15.638,32.83,37.624,35.112,2.312,0,37.624,17.556,18.829,NA,NA,NA,NA,32.83,37.624,35.112,2.312,23.778,27.502,25.103,1.728,-170.538,-137.42,-152.261,13.667,NA,NA,NA,NA,0,61.162,94.28,79.439,14:41,218.3,297.739,5.1965258615954,1,,,,,,,,,
331,MOOREMAN,4,2015,MOOREMAN_050415_14_46_for_1min.avi,yes,14:46,1,1,4,8,323,407,362.75,27.007,302,345,328.5,15.964,1.268,1.635,1.393,0.164,86,195,126.5,38.586,22.804,36.125,30.618,5.891,0,36.125,15.309,16.814,NA,NA,NA,NA,22.804,36.125,30.618,5.891,17.086,28.491,22.127,4.749,-164.745,-138.366,-152.627,10.962,NA,NA,NA,NA,0,64.855,91.234,76.973,14:46,220.4,297.373,5.1901379565331,1,,,,,,,,,
332,MOOREMAN,4,2015,MOOREMAN_050415_14_46_for_1min.avi,yes,14:46,2,2,4,8,810.5,870.5,842.75,18.745,466.833,611.5,538.167,49.571,1.168,1.602,1.343,0.201,46,72,63.25,9.161,21.499,37.142,30.127,6.58,0,37.142,15.064,16.67,NA,NA,NA,NA,21.499,37.142,30.127,6.58,15.341,31.804,23.135,7.623,50.528,115.514,73.815,28.801,NA,NA,NA,NA,0,-79.872,-14.886,-56.585,14:46,220.4,163.815,2.85911111415451,1,,,,,,,,,
333,MOOREMAN,4,2015,MOOREMAN_050415_14_51_for_1min.avi,yes,14:51,1,1,4,8,983.5,1006.167,995.417,8.563,441.167,472.5,454.75,10.26,0.901,1.034,1.001,0.067,51,86,62.75,10.807,19.889,23.485,22.196,1.636,0,23.485,11.098,11.912,NA,NA,NA,NA,19.889,23.485,22.196,1.636,19.228,24.632,22.253,2.24,32.735,55.408,47.352,10.003,NA,NA,NA,NA,0,-99.765,-77.092,-85.148,14:51,222.5,137.352,2.39724463419925,1,,,,,,,,,
334,MOOREMAN,4,2015,MOOREMAN_050415_14_56_for_1min.avi,yes,14:56,1,1,4,8,730.167,824.167,768.5,30.365,419.5,469.5,449.75,18.728,1.301,1.935,1.618,0.276,45,93,72.375,13.948,39.339,65.16,48.118,11.868,0,65.16,24.059,26.868,NA,NA,NA,NA,39.339,65.16,48.118,11.868,23.488,36.287,29.911,6.05,-179.029,176.248,-6.569,195.95,NA,NA,NA,NA,0,46.471,41.748,-141.069,14:56,224.5,83.431,1.45614564823139,1,,,,,,,,,
335,MOOREMAN,4,2015,MOOREMAN_050415_14_56_for_1min.avi,yes,14:56,2,2,4,8,1014.5,1064.5,1039.917,16.238,346.5,365.167,354.167,5.995,1.468,1.635,1.56,0.074,47,67,57.5,6.437,14.981,30.118,23.855,7.072,0,30.118,11.927,13.565,NA,NA,NA,NA,14.981,30.118,23.855,7.072,10.204,18.805,15.16,3.909,-176.424,174.92,-80.321,170.629,NA,NA,NA,NA,0,49.076,40.42,-214.821,14:56,224.5,9.67899999999997,0.168930418300531,1,,,,,,,,,
336,MOOREMAN,4,2015,MOOREMAN_050415_15_01_for_1min.avi,yes,15:01,1,1,4,8,1033.833,1058.5,1044.333,9.809,519.5,543.5,531.833,9.542,0.667,0.868,0.759,0.107,48,72,59.125,8.026,22.804,26.399,24.452,1.483,0,26.399,12.226,13.106,NA,NA,NA,NA,22.804,26.399,24.452,1.483,27.337,39.558,32.819,6.011,15.255,64.134,43.747,20.623,NA,NA,NA,NA,0,-121.245,-72.366,-92.753,15:01,226.5,133.747,2.33432551466486,1,,,,,,,,,
337,MOOREMAN,4,2015,MOOREMAN_050415_15_01_for_1min.avi,yes,15:01,2,2,4,8,873.833,995.167,927.5,40.907,523.5,550.833,537.167,10.173,1.268,1.802,1.502,0.223,50,74,61,9.258,23.485,52.345,44.667,14.128,0,52.345,22.334,25.605,NA,NA,NA,NA,23.485,52.345,44.667,14.128,15.641,41.284,30.327,11.102,-177.769,173.48,1.422,198.726,NA,NA,NA,NA,0,45.731,36.98,-135.078,15:01,226.5,91.422,1.59561490875826,1,,,,,,,,,
338,MOOREMAN,4,2015,MOOREMAN_050415_15_06_for_1min.avi,yes,15:06,1,1,4,8,704.5,761.833,730.417,21.173,476.833,502.167,492.167,9.057,1.368,1.802,1.668,0.206,45,83,64,12.13,23.19,42.719,34.466,9.173,0,42.719,17.233,19.377,NA,NA,NA,NA,23.19,42.719,34.466,9.173,12.87,30.048,21.286,7.736,-161.565,173.797,85.219,164.691,NA,NA,NA,NA,0,60.135,35.497,-53.081,15:06,228.3,175.219,3.05814846205194,1,,,,,,,,,
339,MOOREMAN,4,2015,00008.MTS_at0+0min_for1min.avi,yes,13:40,1,1,4,8,954.667,1016.833,984.792,18.791,553.5,607.5,585.792,16.519,1.335,1.735,1.61,0.186,70,136,93,21.307,21.766,32.221,27.537,4.341,0,32.221,13.769,14.991,NA,NA,NA,NA,21.766,32.221,27.537,4.341,16.309,18.571,17.051,1.038,-140.906,-114.444,-127.73,10.958,NA,NA,NA,NA,-0.8,121.794,148.256,134.97,13:40,186.1,321.07,5.60372862937819,1,,,,,,,,,
340,MOOREMAN,4,2015,00008.MTS_at5+0min_for1min.avi,no,13:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-97,-97,-97,13:45,189,92,2,0,,,,,,,,,
341,MOOREMAN,4,2015,00008.MTS_at10+0min_for1min.avi,yes,13:50,1,1,5,10,1000,1132,1072.667,46.466,318.667,402.667,357.6,27.79,0.934,1.668,1.428,0.298,54,83,69.4,10.2,49.817,67.987,55.668,7.161,0,67.987,27.834,29.725,NA,NA,NA,NA,49.817,67.987,55.668,7.161,31.169,53.322,40.26,8.619,-157.38,-105.524,-134.272,19.397,NA,NA,NA,NA,-0.8,105.32,157.176,128.428,13:50,191.9,320.328,5.5907782863284,1,,,,,,,,,
