dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
173,MECHANICSBURG,5,2015,MB_050515_13_21_for_1min.avi,yes,13:21,2,2,4,8,1349.64,1417.266,1388.129,23.839,523.741,597.122,567.086,27.958,1.835,2.469,2.244,0.291,41,115,84.625,26.747,33.467,71.567,54.193,16.079,0,71.567,27.097,30.821,NA,NA,NA,NA,33.467,71.567,54.193,16.079,18.236,29.382,23.763,4.585,-123.311,-115.463,-118.878,3.575,NA,NA,NA,NA,0,152.589,160.437,157.022,13:21,174.1,331.122,5.77916912578866,1,,,,,,,,,
174,MECHANICSBURG,5,2015,MB_050515_13_26_for_1min.avi,yes,13:26,1,1,4,8,1241.727,1263.309,1251.439,6.515,749.64,794.245,767.986,15.242,1.168,2.102,1.86,0.462,43,71,61.5,9.258,16.78,42.122,24.744,11.894,0,42.122,12.372,15.348,NA,NA,NA,NA,16.78,42.122,24.744,11.894,8.111,20.038,13.968,6.691,-108.435,-59.036,-83.714,20.206,NA,NA,NA,NA,0,164.465,-146.136,-170.814,13:26,177.1,6.28600000000003,0.109711396780364,1,,,,,,,,,
175,MECHANICSBURG,5,2015,MB_050515_13_26_for_1min.avi,yes,13:26,2,2,4,8,831.655,889.209,862.59,19.967,703.597,745.324,722.842,15.798,2.069,2.269,2.152,0.088,42,85,64.5,14.172,28.56,39.588,34.438,4.522,0,39.588,17.219,18.644,NA,NA,NA,NA,28.56,39.588,34.438,4.522,13.587,18.253,16,1.998,114.444,160.907,135.682,19.609,NA,NA,NA,NA,0,27.344,73.807,48.582,13:26,177.1,225.682,3.93889396248584,1,,,,,,,,,
176,MECHANICSBURG,5,2015,MB_050515_13_26_for_1min.avi,yes,13:26,3,3,4,8,606,723,650.375,38.247,717,772,742.5,20.319,2.069,2.703,2.352,0.262,54,82,68.75,10.082,36.235,50.249,46.23,6.685,0,50.249,23.115,25.096,NA,NA,NA,NA,36.235,50.249,46.23,6.685,17.516,21.514,19.659,2.151,121.159,133.363,128.695,5.283,NA,NA,NA,NA,0,34.059,46.263,41.595,13:26,177.1,218.695,3.816947807649,1,,,,,,,,,
177,MECHANICSBURG,5,2015,MB_050515_13_26_for_1min.avi,yes,13:26,4,4,4,8,501,553,527.625,16.97,768,815,791.375,18.988,1.168,2.336,1.693,0.518,78,181,103.25,32.332,30.017,53.413,40.855,11.362,0,53.413,20.428,23.07,NA,NA,NA,NA,30.017,53.413,40.855,11.362,22.869,25.703,24.297,1.453,119.982,137.49,127.581,7.407,NA,NA,NA,NA,0,32.882,50.39,40.481,13:26,177.1,217.581,3.79750483978178,1,,,,,,,,,
178,MECHANICSBURG,5,2015,MB_050515_13_31_for_1min.avi,yes,13:31,1,1,4,8,1211.667,1242.333,1225.5,9.848,439,509.667,472,23.354,2.269,2.636,2.411,0.157,40,62,51.75,8.328,24.037,38.759,30.371,7.286,0,38.759,15.186,16.92,NA,NA,NA,NA,24.037,38.759,30.371,7.286,9.299,17.082,12.739,3.663,-130.815,-110.556,-119.36,9.595,NA,NA,NA,NA,0,139.085,159.344,150.54,13:31,180.1,330.64,5.77075663879405,1,,,,,,,,,
179,MECHANICSBURG,5,2015,MB_050515_13_31_for_1min.avi,yes,13:31,2,2,4,8,461,599.667,522.333,44.245,579,612.333,594.833,11.742,2.436,3.136,2.736,0.307,47,79,66.125,10.535,52.392,73.636,59.573,9.546,0,73.636,29.787,32.451,NA,NA,NA,NA,52.392,73.636,59.573,9.546,18.693,23.477,21.764,2.133,165.256,174.806,170.223,4.082,NA,NA,NA,NA,0,75.156,84.706,80.123,13:31,180.1,260.223,4.5417481394172,1,,,,,,,,,
180,MECHANICSBURG,5,2015,MB_050515_13_31_for_1min.avi,yes,13:31,3,3,4,8,817,877,855.833,20.063,131,205.667,169.333,24.901,1.101,1.368,1.268,0.128,28,69,47,11.723,34.998,48.534,41.769,5.526,0,48.534,20.884,22.618,NA,NA,NA,NA,34.998,48.534,41.769,5.526,25.583,39.313,33.337,6.42,97.352,130.365,109.451,15.185,NA,NA,NA,NA,0,7.25200000000001,40.265,19.351,13:31,180.1,199.451,3.48107664639521,1,,,,,,,,,
181,MECHANICSBURG,5,2015,MB_050515_13_31_for_1min.avi,yes,13:31,4,4,4,8,878.333,927.667,898.833,16.804,617.667,679,644.667,22.319,0.434,1.602,1.018,0.479,33,69,47.5,10.967,22.627,38.204,30.406,7.005,0,38.204,15.203,16.887,NA,NA,NA,NA,22.627,38.204,30.406,7.005,23.854,52.165,33.888,12.613,45,95.711,70.038,21.963,NA,NA,NA,NA,0,-45.1,5.611,-20.062,13:31,180.1,160.038,2.79319002830669,1,,,,,,,,,
182,MECHANICSBURG,5,2015,MB_050515_13_31_for_1min.avi,yes,13:31,5,5,4,8,815.667,907.667,852.333,28.623,460.333,541.667,490.333,27.593,1.535,2.002,1.802,0.196,36,57,45.875,6.707,26.667,57.889,46.081,13.647,0,57.889,23.04,26.201,NA,NA,NA,NA,26.667,57.889,46.081,13.647,17.374,30.981,25.275,6.125,117.216,130.426,125.741,5.867,NA,NA,NA,NA,0,27.116,40.326,35.641,13:31,180.1,215.741,3.76539078154509,1,,,,,,,,,
183,MECHANICSBURG,5,2015,MB_050515_13_36_for_1min.avi,yes,13:36,1,1,4,8,909.353,1001.439,953.597,32.061,562.59,663.309,606.295,34.72,1.401,1.835,1.71,0.208,42,70,55.25,9.896,31.127,58.304,45.746,11.44,0,58.304,22.873,25.574,NA,NA,NA,NA,31.127,58.304,45.746,11.44,16.961,32.97,27.07,7.161,105.751,146.31,123.283,20.052,NA,NA,NA,NA,0,12.751,53.31,30.283,13:36,183,213.283,3.72249058853107,1,,,,,,,,,
