Function;sum
CLASS;
Field;102495.359939
Forest;639574.349277
HerbLine;24671.138601
HerbPatch;861395.84179
Impervious;635274.087954
Residential;10084460.9936
Road;124914.859722
TreeLine;41753.80515
Water;38738.6024909
