None;Function;sum
BLOOM_LEVL;CLASS;
;Forest;14024.1022461
;HerbLine;565.89779259
;HerbPatch;106743.255602
;Residential;33351.9244681
;Road;4804.69465885
;TreeLine;10798.609919
