City (for azimuth),hive,camera,month,day,year,hour,minute,segment,dance found?,segment start time,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_11_for_1min.avi,yes,13:11,,3,3,4,8,1256.115,1293.525,1270.144,12.514,112.23,195.683,158.813,28.31,0,0,0,0,45,65,54.125,6.312,18.76,31.948,24.403,5.663,0,31.948,12.201,13.56,NA,NA,NA,NA,18.76,31.948,24.403,5.663,NA,NA,NA,NA,23.629,94.399,63.649,31.564,NA,NA,NA,NA,0,113.629,184.399,153.649,13:11,168.3,321.949,5.619070074,0,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_11_for_1min.avi,yes,13:11,,4,4,4,8,1123.741,1166.906,1146.763,14.854,247.482,299.281,273.381,17.656,0,0,0,0,32,73,51.375,11.783,24.503,44.418,36.506,8.518,0,44.418,18.253,20.294,NA,NA,NA,NA,24.503,44.418,36.506,8.518,NA,NA,NA,NA,112.62,136.469,123.557,11.631,NA,NA,NA,NA,0,202.62,226.469,213.557,13:11,168.3,21.857,0.3814766146,0,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_11_for_1min.avi,yes,13:11,,5,5,4,8,310.791,361.151,335.971,18.634,123.741,243.165,187.41,42.598,0,0,0,0,55,96,79.625,13.564,22.337,38.231,29.319,6.6,0,38.231,14.66,16.257,NA,NA,NA,NA,22.337,38.231,29.319,6.6,NA,NA,NA,NA,84.289,111.251,102.568,12.482,NA,NA,NA,NA,0,174.289,201.251,192.568,13:11,168.3,0.868,0.01514945791,0,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_16_for_1min.avi,yes,13:16,,1,1,4,8,1076.259,1112.23,1094.424,14.222,359.712,392.806,376.259,12.892,2.035,2.836,2.419,0.338,18,52,39.875,10.398,29.523,41.727,33.682,5.58,0,41.727,16.841,18.37,NA,NA,NA,NA,29.523,41.727,33.682,5.58,12.823,14.913,13.921,1.046,-46.975,-31.43,-39.796,8.051,NA,NA,NA,NA,0,43.025,58.57,50.204,13:16,171.2,221.404,3.864228777,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_21_for_1min.avi,yes,13:21,,1,1,4,8,922.302,952.518,936.691,11.251,510.791,558.273,532.374,18.037,0.901,2.169,1.268,0.608,30,70,53.375,12.432,28.379,38.849,32.904,4.561,0,38.849,16.452,17.84,NA,NA,NA,NA,28.379,38.849,32.904,4.561,17.912,33.88,28.512,7.191,-120.466,-77.735,-92.518,19.316,NA,NA,NA,NA,0,329.534,12.265,357.482,13:21,174.1,171.582,2.994670837,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_21_for_1min.avi,yes,13:21,,2,2,4,8,1349.64,1417.266,1388.129,23.839,523.741,597.122,567.086,27.958,1.835,2.469,2.244,0.291,41,115,84.625,26.747,33.467,71.567,54.193,16.079,0,71.567,27.097,30.821,NA,NA,NA,NA,33.467,71.567,54.193,16.079,18.236,29.382,23.763,4.585,-123.311,-115.463,-118.878,3.575,NA,NA,NA,NA,0,326.689,334.537,331.122,13:21,174.1,145.222,2.534602046,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_26_for_1min.avi,yes,13:26,,1,1,4,8,1241.727,1263.309,1251.439,6.515,749.64,794.245,767.986,15.242,1.168,2.102,1.86,0.462,43,71,61.5,9.258,16.78,42.122,24.744,11.894,0,42.122,12.372,15.348,NA,NA,NA,NA,16.78,42.122,24.744,11.894,8.111,20.038,13.968,6.691,-108.435,-59.036,-83.714,20.206,NA,NA,NA,NA,0,341.565,30.964,6.286,13:26,177.1,183.386,3.200689502,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_26_for_1min.avi,yes,13:26,,2,2,4,8,831.655,889.209,862.59,19.967,703.597,745.324,722.842,15.798,2.069,2.269,2.152,0.088,42,85,64.5,14.172,28.56,39.588,34.438,4.522,0,39.588,17.219,18.644,NA,NA,NA,NA,28.56,39.588,34.438,4.522,13.587,18.253,16,1.998,114.444,160.907,135.682,19.609,NA,NA,NA,NA,0,204.444,250.907,225.682,13:26,177.1,42.782,0.7466867606,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_26_for_1min.avi,yes,13:26,,3,3,4,8,606,723,650.375,38.247,717,772,742.5,20.319,2.069,2.703,2.352,0.262,54,82,68.75,10.082,36.235,50.249,46.23,6.685,0,50.249,23.115,25.096,NA,NA,NA,NA,36.235,50.249,46.23,6.685,17.516,21.514,19.659,2.151,121.159,133.363,128.695,5.283,NA,NA,NA,NA,0,211.159,223.363,218.695,13:26,177.1,35.795,0.6247406058,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_26_for_1min.avi,yes,13:26,,4,4,4,8,501,553,527.625,16.97,768,815,791.375,18.988,1.168,2.336,1.693,0.518,78,181,103.25,32.332,30.017,53.413,40.855,11.362,0,53.413,20.428,23.07,NA,NA,NA,NA,30.017,53.413,40.855,11.362,22.869,25.703,24.297,1.453,119.982,137.49,127.581,7.407,NA,NA,NA,NA,0,209.982,227.49,217.581,13:26,177.1,34.681,0.6052976379,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_31_for_1min.avi,yes,13:31,,1,1,4,8,1211.667,1242.333,1225.5,9.848,439,509.667,472,23.354,2.269,2.636,2.411,0.157,40,62,51.75,8.328,24.037,38.759,30.371,7.286,0,38.759,15.186,16.92,NA,NA,NA,NA,24.037,38.759,30.371,7.286,9.299,17.082,12.739,3.663,-130.815,-110.556,-119.36,9.595,NA,NA,NA,NA,0,319.185,339.444,330.64,13:31,180.1,150.74,2.630909314,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_31_for_1min.avi,yes,13:31,,2,2,4,8,461,599.667,522.333,44.245,579,612.333,594.833,11.742,2.436,3.136,2.736,0.307,47,79,66.125,10.535,52.392,73.636,59.573,9.546,0,73.636,29.787,32.451,NA,NA,NA,NA,52.392,73.636,59.573,9.546,18.693,23.477,21.764,2.133,165.256,174.806,170.223,4.082,NA,NA,NA,NA,0,255.256,264.806,260.223,13:31,180.1,80.323,1.401900815,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_31_for_1min.avi,yes,13:31,,3,3,4,8,817,877,855.833,20.063,131,205.667,169.333,24.901,1.101,1.368,1.268,0.128,28,69,47,11.723,34.998,48.534,41.769,5.526,0,48.534,20.884,22.618,NA,NA,NA,NA,34.998,48.534,41.769,5.526,25.583,39.313,33.337,6.42,97.352,130.365,109.451,15.185,NA,NA,NA,NA,0,187.352,220.365,199.451,13:31,180.1,19.551,0.3412293221,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_31_for_1min.avi,yes,13:31,,4,4,4,8,878.333,927.667,898.833,16.804,617.667,679,644.667,22.319,0.434,1.602,1.018,0.479,33,69,47.5,10.967,22.627,38.204,30.406,7.005,0,38.204,15.203,16.887,NA,NA,NA,NA,22.627,38.204,30.406,7.005,23.854,52.165,33.888,12.613,45,95.711,70.038,21.963,NA,NA,NA,NA,0,135,185.711,160.038,13:31,180.1,340.138,5.936528011,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_31_for_1min.avi,yes,13:31,,5,5,4,8,815.667,907.667,852.333,28.623,460.333,541.667,490.333,27.593,1.535,2.002,1.802,0.196,36,57,45.875,6.707,26.667,57.889,46.081,13.647,0,57.889,23.04,26.201,NA,NA,NA,NA,26.667,57.889,46.081,13.647,17.374,30.981,25.275,6.125,117.216,130.426,125.741,5.867,NA,NA,NA,NA,0,207.216,220.426,215.741,13:31,180.1,35.841,0.6255434572,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_36_for_1min.avi,yes,13:36,,1,1,4,8,909.353,1001.439,953.597,32.061,562.59,663.309,606.295,34.72,1.401,1.835,1.71,0.208,42,70,55.25,9.896,31.127,58.304,45.746,11.44,0,58.304,22.873,25.574,NA,NA,NA,NA,31.127,58.304,45.746,11.44,16.961,32.97,27.07,7.161,105.751,146.31,123.283,20.052,NA,NA,NA,NA,0,195.751,236.31,213.283,13:36,183,36.283,0.6332578125,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_41_for_1min.avi,yes,13:41,,1,1,4,8,1130.935,1179.856,1151.978,19.103,500.719,558.273,535.072,20.857,1.301,1.502,1.41,0.107,52,91,71.25,15.854,30.353,39.088,33.498,3.898,0,39.088,16.749,18.086,NA,NA,NA,NA,30.353,39.088,33.498,3.898,20.215,30.038,24,4.505,2.49,31.43,14.051,12.893,NA,NA,NA,NA,0,92.49,121.43,104.051,13:41,186,290.051,5.062344949,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_46_for_1min.avi,yes,13:46,,1,1,4,8,1057.554,1129.496,1089.928,22.996,503.597,572.662,541.007,25.99,1.034,1.335,1.168,0.142,39,72,49.75,10.925,43.285,59.151,47.587,7.735,0,59.151,23.794,25.935,NA,NA,NA,NA,43.285,59.151,47.587,7.735,33.437,55.398,41.436,9.996,69.228,74.578,72.487,2.596,NA,NA,NA,NA,0,159.228,164.578,162.487,13:46,189,351.487,6.134605428,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_51_for_1min.avi,yes,13:51,,1,1,4,8,651.799,680.576,669.964,11.637,553.957,601.439,576.259,20.493,1.368,1.635,1.502,0.136,39,80,54.375,13.979,33.218,44.138,38.429,4.818,0,44.138,19.215,20.782,NA,NA,NA,NA,33.218,44.138,38.429,4.818,24.282,26.996,25.541,1.129,94.086,109.026,101.085,7.664,NA,NA,NA,NA,0,184.086,199.026,191.085,13:51,191.9,22.985,0.4011639286,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_51_for_1min.avi,yes,13:51,,2,2,4,8,951.079,1010.072,984.353,21.705,689.209,753.957,720.144,21.3,0.701,0.868,0.759,0.074,54,67,62.375,5.181,29.134,44.325,39.023,6.793,0,44.325,19.511,21.327,NA,NA,NA,NA,29.134,44.325,39.023,6.793,41.579,60.383,51.415,8.091,103.134,124.824,114.671,10.816,NA,NA,NA,NA,0,193.134,214.824,204.671,13:51,191.9,36.571,0.6382843607,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_51_for_1min.avi,yes,13:51,,3,3,4,8,1046.043,1074.82,1054.856,8.851,320.863,397.122,353.597,26.949,1.068,1.368,1.21,0.148,25,52,40.125,9.92,28.777,38.393,34.9,4.213,0,38.393,17.45,18.857,NA,NA,NA,NA,28.777,38.393,34.9,4.213,26.315,33.084,28.964,3.073,-126.87,-92.291,-105.311,15.038,NA,NA,NA,NA,0,323.13,357.709,344.689,13:51,191.9,176.589,3.082059473,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_51_for_1min.avi,yes,13:51,,4,4,4,8,497.842,517.986,509.173,7.314,378.417,447.482,413.309,23.274,0.601,0.834,0.742,0.103,41,76,53.25,11.708,26.059,46.446,38.656,8.941,0,46.446,19.328,21.476,NA,NA,NA,NA,26.059,46.446,38.656,8.941,43.388,58,51.55,6.071,90,106.189,96.691,6.859,NA,NA,NA,NA,0,180,196.189,186.691,13:51,191.9,18.591,0.3244741612,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_56_for_1min.avi,yes,13:56,,1,1,4,8,651.799,680.576,669.964,11.637,553.957,601.439,576.259,20.493,1.368,1.635,1.502,0.136,54,92,68,12.972,33.218,44.138,38.429,4.818,0,44.138,19.215,20.782,NA,NA,NA,NA,33.218,44.138,38.429,4.818,24.282,26.996,25.541,1.129,94.086,109.026,101.085,7.664,NA,NA,NA,NA,0,184.086,199.026,191.085,13:56,194.7,25.785,0.4500331476,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_56_for_1min.avi,yes,13:56,,2,2,4,8,951.079,1010.072,984.353,21.705,689.209,753.957,720.144,21.3,0.701,0.868,0.759,0.074,68,80,75.5,4.957,29.134,44.325,39.023,6.793,0,44.325,19.511,21.327,NA,NA,NA,NA,29.134,44.325,39.023,6.793,41.579,60.383,51.415,8.091,103.134,124.824,114.671,10.816,NA,NA,NA,NA,0,193.134,214.824,204.671,13:56,194.7,39.371,0.6871535798,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_56_for_1min.avi,yes,13:56,,3,3,4,8,1046.043,1074.82,1054.856,8.851,320.863,397.122,353.597,26.949,1.068,1.368,1.21,0.148,41,66,54.875,9.265,28.777,38.393,34.9,4.213,0,38.393,17.45,18.857,NA,NA,NA,NA,28.777,38.393,34.9,4.213,26.315,33.084,28.964,3.073,-126.87,-92.291,-105.311,15.038,NA,NA,NA,NA,0,323.13,357.709,344.689,13:56,194.7,179.389,3.130928692,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_13_56_for_1min.avi,yes,13:56,,4,4,4,8,497.842,517.986,509.173,7.314,378.417,447.482,413.309,23.274,0.601,0.834,0.742,0.103,56,88,67,10.704,26.059,46.446,38.656,8.941,0,46.446,19.328,21.476,NA,NA,NA,NA,26.059,46.446,38.656,8.941,43.388,58,51.55,6.071,90,106.189,96.691,6.859,NA,NA,NA,NA,0,180,196.189,186.691,13:56,194.7,21.391,0.3733433803,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_14_01_for_1min.avi,yes,14:01,,1,1,4,8,933.813,955.396,943.885,7.767,710.791,758.273,736.871,19.944,1.201,1.568,1.376,0.15,57,81,68.625,7.891,31.556,45.066,36.814,5.784,0,45.066,18.407,20.039,NA,NA,NA,NA,31.556,45.066,36.814,5.784,22.698,32.942,26.881,4.329,73.301,114.228,93.168,21.53,NA,NA,NA,NA,0,163.301,204.228,183.168,14:01,197.6,20.768,0.3624699791,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_14_01_for_1min.avi,yes,14:01,,2,2,4,8,1406.167,1457.554,1431.109,20.723,588.489,635.971,609.821,16.228,0.501,1.568,1.185,0.469,105,125,116.625,8.467,24.703,42.132,35.488,8.176,0,42.132,17.744,19.71,NA,NA,NA,NA,24.703,42.132,35.488,8.176,25.168,49.356,33.143,11.156,-3.094,14.036,6.336,7.392,NA,NA,NA,NA,0,86.906,104.036,96.336,14:01,197.6,293.936,5.13015099,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,5,2015,13,0,MB_050515_14_06_for_1min.avi,yes,14:06,,1,1,4,8,1053.237,1076.259,1067.626,9.035,280.576,397.122,350.899,39.58,1.001,1.401,1.26,0.177,29,68,45.75,12.59,31.127,57.554,45.259,11.728,0,57.554,22.63,25.381,NA,NA,NA,NA,31.127,57.554,45.259,11.728,31.096,41.069,35.536,5.116,-102.875,-56.31,-86.829,21.029,NA,NA,NA,NA,0,347.125,33.69,3.171,14:06,197.6,200.771,3.504114993,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_10_57_for_1min.avi,no,10:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,10:57,114,204,3.560471674,0,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_02_for_1min.avi,yes,11:02,,1,1,4,8,958.833,1045.5,1001.958,26.03,156.167,209.833,179.417,17.006,2.035,2.769,2.436,0.331,25,78,47.625,21.38,26.136,55.12,41.39,12.401,0,55.12,20.695,23.566,NA,NA,NA,NA,26.136,55.12,41.39,12.401,11.352,20.911,16.905,4.064,-147.995,-130.646,-142.185,8.144,NA,NA,NA,NA,0,302.005,319.354,307.815,11:02,115.2,63.015,1.099819228,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_02_for_1min.avi,yes,11:02,,2,2,4,8,1002.167,1098.833,1062.25,36.057,418.833,466.833,440.333,15.343,3.136,3.504,3.345,0.162,25,82,49.625,20.213,39.693,80.324,61.441,17.177,0,80.324,30.721,34.714,NA,NA,NA,NA,39.693,80.324,61.441,17.177,11.55,22.927,18.369,4.903,7.289,18.886,12.461,5.849,NA,NA,NA,NA,0,97.289,108.886,102.461,11:02,115.2,217.661,3.798901103,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_07_for_1min.avi,yes,11:07,,1,1,4,8,828.5,879.167,848.583,16.644,84.833,198.167,137.417,42.45,1.935,2.769,2.427,0.377,37,150,83,36.762,24.449,40.277,32.25,6.594,0,40.277,16.125,17.771,NA,NA,NA,NA,24.449,40.277,32.25,6.594,10.468,17.433,13.504,3.332,53.881,64.134,59.931,4.336,NA,NA,NA,NA,0,143.881,154.134,149.931,11:07,116.5,266.431,4.650098179,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_07_for_1min.avi,yes,11:07,,2,2,4,8,718.5,835,785.833,37.29,422.5,462,441.771,13.872,2.269,2.669,2.427,0.171,29,118,58.875,31.453,23.691,43.064,32.527,7.97,0,43.064,16.264,18.153,NA,NA,NA,NA,23.691,43.064,32.527,7.97,10,18.98,13.507,3.871,-175.186,172.725,0.518,196.777,NA,NA,NA,NA,0,274.814,262.725,90.518,11:07,116.5,207.018,3.613145711,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_07_for_1min.avi,yes,11:07,,3,3,4,8,489.5,536,520.938,14.681,432,492,463.688,22.023,2.769,3.136,2.936,0.166,52,97,72.25,16.568,30.529,40.302,35.361,4.015,0,40.302,17.681,19.083,NA,NA,NA,NA,30.529,40.302,35.361,4.015,11.023,13.421,12.042,1.185,-81.983,-40.333,-64.815,19.356,NA,NA,NA,NA,0,8.017,49.667,25.185,11:07,116.5,141.685,2.472869751,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_07_for_1min.avi,yes,11:07,,4,4,4,8,1032.167,1135.5,1072.583,36.697,508.833,600.5,568.667,33.658,1.568,2.736,2.302,0.507,32,92,51,20.263,24.585,39.129,29.69,6.607,0,39.129,14.845,16.449,NA,NA,NA,NA,24.585,39.129,29.69,6.607,10.422,16.065,13.219,3.068,-163.443,-139.399,-155.643,11.219,NA,NA,NA,NA,0,286.557,310.601,294.357,11:07,116.5,50.857,0.8876220977,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_07_for_1min.avi,yes,11:07,,5,5,4,8,1087.5,1150.5,1114.625,21.128,441,465.5,454,9.644,0.367,2.636,0.968,1.113,19,57,41.125,13.087,19.007,38.71,27.306,8.872,0,38.71,13.653,15.709,NA,NA,NA,NA,19.007,38.71,27.306,8.872,14.685,63.738,46.12,21.58,-156.975,-130.914,-146.447,11.617,NA,NA,NA,NA,0,293.025,319.086,303.553,11:07,116.5,60.053,1.048122576,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_12_for_1min.avi,yes,11:12,,1,1,4,8,419.833,489.5,452.625,26.641,572.167,601.833,586.167,9.403,2.369,2.636,2.461,0.12,62,114,88.875,17.748,43.379,53.28,45.974,4.875,0,53.28,22.987,24.781,NA,NA,NA,NA,43.379,53.28,45.974,4.875,16.457,21.874,18.725,2.27,-169.182,177.357,87.866,171.432,NA,NA,NA,NA,0,280.818,267.357,177.866,11:12,117.9,295.766,5.162090515,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_12_for_1min.avi,yes,11:12,,2,2,4,8,363.5,416.833,391.667,18.277,77.5,125.5,103.833,19.09,1.802,2.636,2.369,0.384,56,149,90.75,32.587,10.77,41.058,29.898,13.788,0,41.058,14.949,18.354,NA,NA,NA,NA,10.77,41.058,29.898,13.788,5.978,16.629,12.174,4.767,57.6,111.801,75.503,24.55,NA,NA,NA,NA,0,147.6,201.801,165.503,11:12,117.9,283.403,4.94631546,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_17_for_1min.avi,yes,11:17,,1,1,4,8,913.167,989.5,957.708,23.961,410.167,474.167,451.375,23.011,0.42,0.75,0.532,0.15,40,95,65.5,25.326,19.437,39.001,29.623,8.116,0,39.001,14.812,16.702,NA,NA,NA,NA,19.437,39.001,29.623,8.116,46.277,70.429,56.08,10.309,-161.565,-149.036,-156.2,5.246,NA,NA,NA,NA,0,288.435,300.964,293.8,11:17,119.3,53.1,0.9267698328,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_17_for_1min.avi,yes,11:17,,2,2,4,8,457,659,562.062,68.846,136.5,247,190.125,38.999,1.62,2.22,1.958,0.272,54,184,97.25,40.07,34.234,81.465,51.136,20.827,0,81.465,25.568,30.545,NA,NA,NA,NA,34.234,81.465,51.136,20.827,15.421,43.798,26.812,12.182,-173.29,-155.659,-163.989,9.557,NA,NA,NA,NA,0,276.71,294.341,286.011,11:17,119.3,45.311,0.7908261374,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_17_for_1min.avi,yes,11:17,,3,3,4,8,657.5,749,704,30.978,393,438.5,418.562,14.48,1.65,1.92,1.792,0.133,24,198,66,55.595,46.811,50.596,48.563,1.56,0,50.596,24.281,25.978,NA,NA,NA,NA,46.811,50.596,48.563,1.56,25.706,29.248,27.17,1.546,-174.053,-156.337,-164.591,7.53,NA,NA,NA,NA,0,275.947,293.663,285.409,11:17,119.3,44.709,0.7803192553,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_17_for_1min.avi,yes,11:17,,4,4,4,8,692.833,741.5,724.75,16.559,443.167,497.833,468.25,19.279,0.27,0.48,0.368,0.09,30,139,72.125,41.205,11.333,20.87,16.854,4.311,0,20.87,8.427,9.441,NA,NA,NA,NA,11.333,20.87,16.854,4.311,41.975,50.275,45.755,3.753,-162.181,-151.928,-156.89,4.978,NA,NA,NA,NA,0,287.819,298.072,293.11,11:17,119.3,52.41,0.914727061,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_22_for_1min.avi,yes,11:22,,1,1,4,8,1206.833,1274.167,1246.333,23.464,298.167,332.167,311.667,10.671,1.101,1.768,1.426,0.281,15,53,35.875,11.922,25.966,43.231,36.225,7.636,0,43.231,18.113,19.998,NA,NA,NA,NA,25.966,43.231,36.225,7.636,19.841,30.433,25.662,4.857,-29.197,-14.3,-21.632,6.237,NA,NA,NA,NA,0,60.803,75.7,68.368,11:22,120.7,189.068,3.29985911,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_22_for_1min.avi,yes,11:22,,2,2,4,8,708.833,819.5,754.167,37.182,452.833,500.833,478.583,15.565,2.336,3.136,2.653,0.341,41,144,74.625,32.863,30.361,51.021,43.817,9.284,0,51.021,21.908,24.197,NA,NA,NA,NA,30.361,51.021,43.817,9.284,12.999,18.949,16.452,2.549,-173.246,178.431,77.186,167.588,NA,NA,NA,NA,0,276.754,268.431,167.186,11:22,120.7,287.886,5.02455857,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_27_for_1min.avi,yes,11:27,,1,1,4,8,232.167,266.167,250.417,13.423,359.833,395.833,377.167,18.23,3.203,3.47,3.387,0.126,76,189,116.5,44.352,38.465,44.801,41.695,3.192,0,44.801,20.847,22.385,NA,NA,NA,NA,38.465,44.801,41.695,3.192,11.085,12.942,12.315,0.868,-129.472,-115.677,-124.782,6.193,NA,NA,NA,NA,0,320.528,334.323,325.218,11:27,122.2,87.418,1.525731926,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_32_for_1min.avi,yes,11:32,,1,1,4,8,756.833,1004.167,860.167,82.341,571.833,652.5,612.167,32.158,3.67,4.404,3.946,0.318,55,101,76.875,17.158,39.744,64.996,46.46,12.373,0,64.996,23.23,26.121,NA,NA,NA,NA,39.744,64.996,46.46,12.373,10.323,14.757,11.658,2.078,130.4,157.306,148.792,12.385,NA,NA,NA,NA,0,220.4,247.306,238.792,11:32,123.8,2.592,0.04523893421,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_32_for_1min.avi,yes,11:32,,2,2,4,8,923.833,1031.833,985.333,33.687,394.833,452.833,428.083,18.37,1.568,2.603,1.994,0.465,38,84,55.75,16.316,31.468,60.648,44.674,12.727,0,60.648,22.337,25.291,NA,NA,NA,NA,31.468,60.648,44.674,12.727,14.97,28.451,22.765,5.652,-152.987,-141.71,-146.243,4.937,NA,NA,NA,NA,0,297.013,308.29,303.757,11:32,123.8,67.557,1.179092083,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_32_for_1min.avi,yes,11:32,,3,3,4,8,1037.833,1075.833,1058.167,15.34,138.833,186.833,166.167,20.665,0.868,1.134,1.018,0.123,28,68,49.25,14.577,20.396,41.58,30.352,8.716,0,41.58,15.176,17.198,NA,NA,NA,NA,20.396,41.58,30.352,8.716,18.523,36.651,30.064,8.266,-176.009,177.51,75.323,168.759,NA,NA,NA,NA,0,273.991,267.51,165.323,11:32,123.8,289.123,5.046148293,1,,,,,,,,,
Mechanicsburg,MECHANICSBURG,,MAY,6,2015,10,56,MB_050615_11_37_for_1min.avi,yes,11:37,,1,1,4,8,1053.167,1135.167,1084.417,27.771,130.167,163.5,150,10.599,1.101,1.268,1.176,0.069,38,114,65.125,22.731,31.362,54.813,39.396,10.892,0,54.813,19.698,22.232,NA,NA,NA,NA,31.362,54.813,39.396,10.892,26.855,43.23,33.224,7.25,-177.563,179.029,84.146,174.687,NA,NA,NA,NA,0,272.437,269.029,174.146,11:37,125.4,299.546,5.228063961,1,,,,,,,,,
