City (for azimuth),hive,camera,month,day,year,hour,minute,segment,dance found?,segment start time,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_36_for_1min.avi,no,15:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:36,237.9,327.9,5.722934617,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_41_for_1min.avi,no,15:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:41,239.3,329.3,5.747369227,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_46_for_1min.avi,no,15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:46,240.8,330.8,5.773549166,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_51_for_1min.avi,no,15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:51,242.2,332.2,5.797983775,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_56_for_1min.avi,no,15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:56,243.5,333.5,5.820673055,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_16_01_for_1min.avi,no,16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,16:01,244.8,334.8,5.843362336,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_16_06_for_1min.avi,no,16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,16:06,246.1,336.1,5.866051616,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_16_11_for_1min.avi,yes,16:11,,1,1,1,2,758.167,795.5,776.833,26.399,389.5,402.833,396.167,9.428,0,0,0,NA,51,74,62.5,16.263,39.643,39.643,39.643,NA,0,39.643,19.821,28.032,NA,NA,NA,NA,39.643,39.643,39.643,NA,NA,NA,NA,NA,-19.654,-19.654,-19.654,NA,NA,NA,NA,NA,0,70.346,70.346,70.346,16:11,247.3,317.646,5.543968556,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_16_16_for_1min.avi,no,16:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,16:16,248.5,338.5,5.907939518,0,,,,,,,,,
London,FSR,,MAY,5,2015,11,20,FSR_050515_11_21_for_1min.avi,yes,11:21,,1,1,4,8,896.167,912.167,903.583,6.166,370.833,420.833,400.167,19.834,1.902,2.569,2.261,0.274,60,87,71.125,8.593,30.47,49.121,35.963,8.818,0,49.121,17.982,20.071,NA,NA,NA,NA,30.47,49.121,35.963,8.818,13.429,19.119,15.837,2.574,88.831,100.081,95.997,4.93,NA,NA,NA,NA,-1,179.831,191.081,186.997,11:21,120.7,307.697,5.370325749,1,,,,,,,,,
