None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;403.062807461
2;Field;587.647517102
;Field;1070.10046862
;Forest;2497.82583762
;HerbLine;13535.9206576
;HerbPatch;758.512234095
;Residential;1598.35027476
;Roadside;5541.90676119
;TreeLine;5407.66910404
