Function,sum
CLASS,
Field,10816635.3533
Forest,276670.21359
HerbLine,148835.733732
HerbPatch,290907.106454
Orchard,129280.942455
Residential,552237.869559
Road,76914.469836
Roadside,113109.396878
TreeLine,148864.511517
,
,12553455.597321
