None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;354987.905994
1;Field;351130.597776
2;Field;174361.636067
;Field;215873.468925
;Forest;144070.258294
;HerbLine;104811.626213
;HerbPatch;79975.4603012
;Orchard;50635.0459329
;Residential;122816.035631
;Road;38063.2385346
;Roadside;55684.7101222
;TreeLine;103399.488114
