None;Function;sum
BLOOM_LEVL;CROP;
0;corn;501546.777249
0;soybean;2496705.97289
0;wheat;63739.2518163
1;corn;143979.818122
1;soybean;2604898.1073
2;;105685.326381
2;corn;3086777.2759
2;soybean;1263038.03159
;;2279332.76655
;soybean;7752.26955836
