None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;146090.658
2;Field;130048.131681
;Field;242274.042258
;Forest;356848.45672
;HerbLine;82253.3754963
;HerbPatch;530842.589942
;Residential;612105.965365
;Road;44784.7802809
;Roadside;69413.1997245
;TreeLine;34528.303673
