None;Function;sum
BLOOM_LEVL;CROP;
0;corn;1070779.47558
0;soy;39643.2260455
0;soybean;1020387.87204
1;corn;662774.191009
1;soybean;54917.8488616
2;;96602.1124727
2;corn;601314.365771
2;soybean;1351149.38452
;;7437079.44543
;corn;28738.4915308
;soybean;190606.482207
