None;Function;sum
BLOOM_LEVL;CLASS;
2;Field;368.002739171
;Field;1142.33482016
;Forest;5532.55895874
;HerbLine;11274.6819785
;HerbPatch;4176.15902482
;Residential;4137.62236955
;Roadside;5023.09526677
;TreeLine;2258.2104803
