None;Function;sum
BLOOM_LEVL;CROP;
0;corn;2571219.12532
0;soybean;3656428.66203
1;;81902.071508
1;corn;112018.184148
1;soybean;2641143.17328
2;corn;88459.4747486
2;soybean;193622.045123
;;2628172.28564
;corn;5218.72877842
;soybean;446185.664338
;wheat;130136.732507
