None;Function;sum
BLOOM_LEVL;CLASS;
;Field;226.187847105
;Forest;1093.48307651
;HerbLine;5660.66539737
;HerbPatch;920.312051891
;Residential;1487.31442337
;Road;16.8980346169
;Roadside;6191.46176853
;TreeLine;4428.89776905
