None;Function;sum
BLOOM_LEVL;CLASS;
0;Field;329267.702594
0;Residential;4977.12206534
1;Field;217071.116766
2;Field;4241.84295638
;Field;168164.399451
;Forest;98584.2613042
;HerbLine;67507.759117
;HerbPatch;170812.7182
;Residential;196185.063265
;Road;44618.8938467
;Roadside;79384.72298
;TreeLine;54736.4483863
