Function;sum
CLASS;
Field;10682586.5314
Forest;524122.127807
HerbLine;182140.173764
HerbPatch;401960.215446
Impervious;764.062829522
Residential;421970.204376
Road;75600.8177946
Roadside;124950.187692
TreeLine;140411.82626
